[E 250307 10:15:41 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:01 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:03 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:05 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:07 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:09 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:11 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:13 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:15 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:17 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:19 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:21 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:23 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:25 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:27 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:29 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:31 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:33 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:35 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:37 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:39 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:41 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:43 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:45 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:47 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:49 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:51 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:53 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:55 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:58 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:16:59 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
